operation_type|scheduled_start_time|actual_start_time|execution_duration_MILLISECONDS|result_code|original_start_time
LdbcQuery8|1539266622892|1539266618023|4042|3|5
LdbcQuery8|1539266622892|1539266622066|80|3|10
LdbcQuery8|1539266622892|1539266622147|80|7|15
LdbcQuery8|1539266622892|1539266622228|78|13|20
LdbcQuery11|1539266622892|1539266622306|673|10|22
LdbcQuery8|1539266622892|1539266622980|53|5|25
LdbcQuery1|1539266622892|1539266623033|5561|18|26
LdbcQuery8|1539266622892|1539266628595|62|1|30
LdbcQuery8|1539266622892|1539266628657|63|4|35
LdbcQuery4|1539266622892|1539266628721|4362|5|36
LdbcQuery2|1539266622892|1539266633084|1076|20|37
LdbcQuery7|1539266622892|1539266634160|37223|20|38
LdbcQuery10|1539266622892|1539266671384|14812|10|40
LdbcQuery8|1539266622892|1539266686197|75|1|40
LdbcQuery11|1539266622892|1539266686273|51|0|44
LdbcQuery12|1539266622892|1539266686324|467|6|44
LdbcQuery8|1539266622892|1539266686792|62|14|45
LdbcQuery8|1539266622892|1539266686854|66|14|50
LdbcQuery1|1539266622892|1539266686921|4374|20|52
LdbcQuery8|1539266622892|1539266691295|63|20|55
LdbcQuery8|1539266622892|1539266691359|62|15|60
LdbcQuery8|1539266622892|1539266691421|62|16|65
LdbcQuery11|1539266622892|1539266691484|49|0|66
LdbcQuery8|1539266622892|1539266691533|62|19|70
LdbcQuery4|1539266622892|1539266691596|1565|4|72
LdbcQuery2|1539266622892|1539266693162|324|20|74
LdbcQuery8|1539266622892|1539266693486|62|13|75
LdbcQuery7|1539266622892|1539266693549|237896|20|76
LdbcQuery5|1539266622892|1539266931446|1064|0|78
LdbcQuery1|1539266622892|1539266932511|4308|20|78
LdbcQuery10|1539266622892|1539266936820|18527|10|80
LdbcQuery8|1539266622892|1539266955347|60|5|80
LdbcQuery8|1539266622892|1539266955408|59|6|85
LdbcQuery12|1539266622892|1539266955468|308|3|88
LdbcQuery11|1539266622892|1539266955777|49|4|88
LdbcQuery8|1539266622892|1539266955827|60|9|90
LdbcQuery8|1539266622892|1539266955887|59|6|95
LdbcQuery8|1539266622892|1539266955947|59|6|100
LdbcQuery1|1539266622892|1539266956006|4346|20|104
LdbcQuery8|1539266622892|1539266960353|59|2|105
LdbcQuery4|1539266622892|1539266960413|1566|4|108
LdbcQuery11|1539266622892|1539266961979|24|0|110
LdbcQuery8|1539266622892|1539266962004|60|10|110
LdbcQuery2|1539266622892|1539266962065|408|20|111
LdbcQuery7|1539266622892|1539266962473|349385|20|114
LdbcQuery8|1539266622892|1539267311858|61|13|115
LdbcQuery10|1539266622892|1539267311920|16778|10|120
LdbcQuery8|1539266622892|1539267328699|60|11|120
LdbcQuery3|1539266622892|1539267328760|589|1|123
LdbcQuery8|1539266622892|1539267329350|60|8|125
LdbcQuery1|1539266622892|1539267329410|4341|20|130
LdbcQuery8|1539266622892|1539267333751|61|20|130
LdbcQuery11|1539266622892|1539267333813|64|1|132
LdbcQuery12|1539266622892|1539267333877|363|5|132
LdbcQuery8|1539266622892|1539267334241|61|16|135
LdbcQuery8|1539266622892|1539267334302|59|1|140
LdbcQuery4|1539266622892|1539267334362|1528|4|144
LdbcQuery8|1539266622892|1539267335891|60|12|145
LdbcQuery2|1539266622892|1539267335951|395|20|148
LdbcQuery8|1539266622892|1539267336347|60|7|150
LdbcQuery7|1539266622892|1539267336407|151327|20|152
LdbcQuery11|1539266622892|1539267487735|51|10|154
LdbcQuery8|1539266622892|1539267487786|60|20|155
LdbcQuery5|1539266622892|1539267487847|1174|20|156
LdbcQuery1|1539266622892|1539267489021|4759|20|156
LdbcQuery10|1539266622892|1539267493780|12802|10|160
LdbcQuery8|1539266622892|1539267506584|59|7|160
LdbcQuery8|1539266622892|1539267506644|60|20|165
LdbcQuery8|1539266622892|1539267506704|59|13|170
LdbcQuery8|1539266622892|1539267506763|59|10|175
LdbcQuery11|1539266622892|1539267506822|50|3|176
LdbcQuery12|1539266622892|1539267506872|356|7|176
LdbcQuery4|1539266622892|1539267507229|1533|4|180
LdbcQuery8|1539266622892|1539267508763|60|20|180
LdbcQuery1|1539266622892|1539267508823|4332|20|182
LdbcQuery2|1539266622892|1539267513156|816|20|185
LdbcQuery8|1539266622892|1539267513973|64|17|185
LdbcQuery7|1539266622892|1539267514037|26072|20|190
LdbcQuery8|1539266622892|1539267540110|59|14|190
LdbcQuery8|1539266622892|1539267540170|59|17|195
LdbcQuery11|1539266622892|1539267540229|48|3|198
LdbcQuery10|1539266622892|1539267540278|17078|10|200
LdbcQuery8|1539266622892|1539267557356|59|4|200
LdbcQuery8|1539266622892|1539267557416|58|1|205
LdbcQuery1|1539266622892|1539267557475|4494|10|208
LdbcQuery8|1539266622892|1539267561970|60|13|210
LdbcQuery8|1539266622892|1539267562030|60|20|215
LdbcQuery4|1539266622892|1539267562091|1529|4|216
LdbcQuery11|1539266622892|1539267563621|50|3|220
LdbcQuery8|1539266622892|1539267563671|59|6|220
LdbcQuery12|1539266622892|1539267563730|317|6|220
LdbcQuery2|1539266622892|1539267564048|746|20|222
LdbcQuery8|1539266622892|1539267564795|61|16|225
LdbcQuery7|1539266622892|1539267564857|26100|20|228
LdbcQuery8|1539266622892|1539267590958|59|3|230
LdbcQuery5|1539266622892|1539267591017|1881|20|234
LdbcQuery1|1539266622892|1539267592898|4457|8|234
LdbcQuery8|1539266622892|1539267597356|60|18|235
LdbcQuery10|1539266622892|1539267597417|15079|10|240
LdbcQuery8|1539266622892|1539267612496|60|20|240
