operation_type|scheduled_start_time|actual_start_time|execution_duration_MILLISECONDS|result_code|original_start_time
LdbcQuery8|1540416490141|1540416485269|239838|20|246370
LdbcQuery8|1540416490387|1540416725108|240889|20|492740
LdbcQuery8|1540416490634|1540416965998|235109|20|739110
LdbcQuery8|1540416490880|1540417201107|242713|20|985480
LdbcQuery11|1540416490979|1540417443821|17465|10|1084028
LdbcQuery8|1540416491126|1540417461286|242349|20|1231850
LdbcQuery8|1540416491373|1540417703636|239754|20|1478220
LdbcQuery8|1540416491619|1540417943391|233461|20|1724590
LdbcQuery2|1540416491718|1540418176853|136531|20|1823138
LdbcQuery8|1540416491866|1540418313384|241130|20|1970960
LdbcQuery11|1540416492063|1540418554515|18446|9|2168056
LdbcQuery12|1540416492063|1540418572961|148786|1|2168056
LdbcQuery8|1540416492112|1540418721748|241088|20|2217330
LdbcQuery8|1540416492358|1540418962837|240447|20|2463700
LdbcQuery8|1540416492605|1540419203284|245011|20|2710070
LdbcQuery8|1540416492851|1540419448295|248602|20|2956440
LdbcQuery8|1540416493097|1540419696898|241799|20|3202810
LdbcQuery11|1540416493147|1540419938698|17237|8|3252084
LdbcQuery8|1540416493344|1540419955936|240720|20|3449180
LdbcQuery2|1540416493541|1540420196656|131328|20|3646276
LdbcQuery8|1540416493590|1540420327985|242368|20|3695550
LdbcQuery5|1540416493738|1540420570354|286352|20|3843372
LdbcQuery8|1540416493837|1540420856706|246824|20|3941920
LdbcQuery8|1540416494083|1540421103531|243628|20|4188290
LdbcQuery12|1540416494231|1540421347160|152312|0|4336112
LdbcQuery11|1540416494231|1540421499473|17543|5|4336112
LdbcQuery8|1540416494329|1540421517016|241868|20|4434660
LdbcQuery8|1540416494576|1540421758884|246119|20|4681030
LdbcQuery8|1540416494822|1540422005004|240489|20|4927400
LdbcQuery8|1540416495068|1540422245493|242095|20|5173770
LdbcQuery11|1540416495315|1540422487589|17425|8|5420140
LdbcQuery8|1540416495315|1540422505015|242991|20|5420140
