operation_type|scheduled_start_time|actual_start_time|execution_duration_MILLISECONDS|result_code|original_start_time
LdbcQuery8|1537005668206|1537005663333|104|3|246370
LdbcQuery8|1537005668452|1537005663438|1|3|492740
LdbcQuery8|1537005668699|1537005663439|1|7|739110
LdbcQuery13|1537005668896|1537005663441|99|1|936206
LdbcQuery8|1537005668945|1537005663540|2|13|985480
LdbcQuery11|1537005669044|1537005663543|6|10|1084028
LdbcQuery8|1537005669191|1537005663550|2|5|1231850
LdbcQuery1|1537005669241|1537005663552|32|18|1281124
LdbcQuery8|1537005669438|1537005663585|1|1|1478220
LdbcQuery8|1537005669684|1537005663587|1|4|1724590
LdbcQuery4|1537005669733|1537005663589|69|5|1773864
LdbcQuery2|1537005669783|1537005663659|45|20|1823138
LdbcQuery13|1537005669832|1537005663704|91|1|1872412
LdbcQuery7|1537005669832|1537005663795|152|20|1872412
LdbcQuery8|1537005669931|1537005663948|1|1|1970960
LdbcQuery10|1537005669931|1537005663950|418|10|1970960
LdbcQuery11|1537005670128|1537005664368|4|0|2168056
LdbcQuery12|1537005670128|1537005664373|162|6|2168056
LdbcQuery8|1537005670177|1537005664536|2|14|2217330
LdbcQuery14|1537005670374|1537005664538|11187|7|2414426
LdbcQuery8|1537005670423|1537005675726|2|14|2463700
LdbcQuery1|1537005670522|1537005675729|85|20|2562248
LdbcQuery8|1537005670670|1537005675815|2|20|2710070
LdbcQuery13|1537005670768|1537005675817|3|1|2808618
LdbcQuery8|1537005670916|1537005675821|1|15|2956440
LdbcQuery8|1537005671162|1537005675823|1|16|3202810
LdbcQuery11|1537005671212|1537005675825|4|0|3252084
LdbcQuery8|1537005671409|1537005675829|1|19|3449180
LdbcQuery4|1537005671507|1537005675831|69|4|3547728
LdbcQuery2|1537005671606|1537005675900|46|20|3646276
LdbcQuery8|1537005671655|1537005675947|1|13|3695550
LdbcQuery7|1537005671704|1537005675949|140|20|3744824
LdbcQuery13|1537005671704|1537005676090|89|1|3744824
LdbcQuery5|1537005671803|1537005676179|70|0|3843372
LdbcQuery1|1537005671803|1537005676250|78|20|3843372
LdbcQuery10|1537005671902|1537005676329|392|10|3941920
LdbcQuery8|1537005671902|1537005676721|1|5|3941920
LdbcQuery8|1537005672148|1537005676723|1|6|4188290
LdbcQuery12|1537005672296|1537005676724|172|3|4336112
LdbcQuery11|1537005672296|1537005676897|4|4|4336112
LdbcQuery8|1537005672394|1537005676902|1|9|4434660
LdbcQuery13|1537005672641|1537005676903|83|1|4681030
LdbcQuery8|1537005672641|1537005676986|1|6|4681030
LdbcQuery14|1537005672788|1537005676988|10896|15|4828852
LdbcQuery8|1537005672887|1537005687884|1|6|4927400
LdbcQuery1|1537005673084|1537005687886|79|20|5124496
LdbcQuery8|1537005673133|1537005687966|1|2|5173770
LdbcQuery4|1537005673281|1537005687968|103|4|5321592
LdbcQuery11|1537005673380|1537005688072|2|0|5420140
LdbcQuery8|1537005673380|1537005688074|1|10|5420140
LdbcQuery2|1537005673429|1537005688076|42|20|5469414
LdbcQuery13|1537005673577|1537005688119|87|1|5617236
LdbcQuery7|1537005673577|1537005688206|124|20|5617236
LdbcQuery8|1537005673626|1537005688331|1|13|5666510
LdbcQuery10|1537005673873|1537005688333|492|10|5912880
LdbcQuery8|1537005673873|1537005688825|1|11|5912880
LdbcQuery3|1537005674020|1537005688827|26|1|6060702
LdbcQuery8|1537005674119|1537005688854|1|8|6159250
LdbcQuery1|1537005674365|1537005688855|77|20|6405620
LdbcQuery8|1537005674365|1537005688932|1|20|6405620
LdbcQuery11|1537005674464|1537005688934|4|1|6504168
LdbcQuery12|1537005674464|1537005688938|224|5|6504168
LdbcQuery13|1537005674513|1537005689163|83|1|6553442
LdbcQuery8|1537005674612|1537005689246|1|16|6651990
LdbcQuery8|1537005674858|1537005689248|1|1|6898360
LdbcQuery4|1537005675055|1537005689249|62|4|7095456
LdbcQuery8|1537005675104|1537005689312|1|12|7144730
LdbcQuery14|1537005675203|1537005689314|10827|20|7243278
LdbcQuery2|1537005675252|1537005700141|55|20|7292552
LdbcQuery8|1537005675351|1537005700197|1|7|7391100
LdbcQuery7|1537005675449|1537005700199|139|20|7489648
LdbcQuery13|1537005675449|1537005700338|81|1|7489648
LdbcQuery11|1537005675548|1537005700419|4|10|7588196
LdbcQuery8|1537005675597|1537005700424|1|20|7637470
LdbcQuery5|1537005675646|1537005700425|604|20|7686744
LdbcQuery1|1537005675646|1537005701030|54|20|7686744
LdbcQuery10|1537005675843|1537005701085|367|10|7883840
LdbcQuery8|1537005675843|1537005701453|1|7|7883840
LdbcQuery8|1537005676090|1537005701455|1|20|8130210
LdbcQuery8|1537005676336|1537005701457|1|13|8376580
LdbcQuery13|1537005676385|1537005701458|83|1|8425854
LdbcQuery8|1537005676583|1537005701541|1|10|8622950
LdbcQuery11|1537005676632|1537005701542|4|3|8672224
LdbcQuery12|1537005676632|1537005701547|212|7|8672224
