operation_type|scheduled_start_time|actual_start_time|execution_duration_MILLISECONDS|result_code|original_start_time
LdbcQuery8|1537005723744|1537005718774|1|13|10347540
LdbcQuery8|1537005723990|1537005718776|1|20|10593910
LdbcQuery4|1537005724040|1537005718778|70|4|10643184
LdbcQuery12|1537005724237|1537005718848|186|6|10840280
LdbcQuery11|1537005724237|1537005719035|4|3|10840280
LdbcQuery8|1537005724237|1537005719040|1|6|10840280
LdbcQuery2|1537005724335|1537005719041|52|20|10938828
LdbcQuery8|1537005724483|1537005719093|1|16|11086650
LdbcQuery13|1537005724631|1537005719095|86|1|11234472
LdbcQuery7|1537005724631|1537005719181|140|20|11234472
LdbcQuery8|1537005724729|1537005719322|1|3|11333020
LdbcQuery1|1537005724927|1537005719323|16|8|11530116
LdbcQuery5|1537005724927|1537005719339|1065|20|11530116
LdbcQuery8|1537005724976|1537005720405|1|18|11579390
LdbcQuery10|1537005725222|1537005720407|447|10|11825760
LdbcQuery8|1537005725222|1537005720854|1|20|11825760
LdbcQuery11|1537005725321|1537005720856|4|2|11924308
LdbcQuery14|1537005725469|1537005720861|10867|7|12072130
LdbcQuery8|1537005725469|1537005731728|1|9|12072130
LdbcQuery3|1537005725518|1537005731730|26|0|12121404
LdbcQuery13|1537005725567|1537005731757|4|1|12170678
LdbcQuery8|1537005725715|1537005731761|1|2|12318500
LdbcQuery4|1537005725814|1537005731762|74|4|12417048
LdbcQuery8|1537005725961|1537005731837|1|15|12564870
LdbcQuery2|1537005726158|1537005731839|47|20|12761966
LdbcQuery1|1537005726208|1537005731886|77|20|12811240
LdbcQuery8|1537005726208|1537005731963|1|7|12811240
LdbcQuery12|1537005726405|1537005731964|213|6|13008336
LdbcQuery11|1537005726405|1537005732178|4|1|13008336
LdbcQuery8|1537005726454|1537005732182|1|19|13057610
LdbcQuery13|1537005726503|1537005732184|82|1|13106884
LdbcQuery7|1537005726503|1537005732267|126|20|13106884
LdbcQuery8|1537005726700|1537005732394|1|12|13303980
LdbcQuery8|1537005726947|1537005732396|1|20|13550350
LdbcQuery10|1537005727193|1537005732397|395|10|13796720
LdbcQuery8|1537005727193|1537005732792|1|20|13796720
LdbcQuery13|1537005727440|1537005732794|86|1|14043090
LdbcQuery8|1537005727440|1537005732881|1|20|14043090
LdbcQuery11|1537005727489|1537005732883|2|0|14092364
LdbcQuery1|1537005727489|1537005732885|75|20|14092364
LdbcQuery4|1537005727587|1537005732961|59|4|14190912
LdbcQuery8|1537005727686|1537005733020|1|15|14289460
LdbcQuery14|1537005727883|1537005733022|10924|18|14486556
LdbcQuery8|1537005727932|1537005743947|2|15|14535830
LdbcQuery2|1537005727982|1537005743949|63|20|14585104
LdbcQuery8|1537005728179|1537005744012|1|20|14782200
LdbcQuery7|1537005728376|1537005744014|143|20|14979296
LdbcQuery13|1537005728376|1537005744158|85|1|14979296
LdbcQuery8|1537005728425|1537005744244|1|20|15028570
LdbcQuery11|1537005728573|1537005744245|4|6|15176392
LdbcQuery12|1537005728573|1537005744249|198|4|15176392
LdbcQuery8|1537005728671|1537005744447|1|16|15274940
LdbcQuery5|1537005728770|1537005744449|580|20|15373488
LdbcQuery1|1537005728770|1537005745030|78|20|15373488
LdbcQuery8|1537005728918|1537005745109|1|2|15521310
LdbcQuery10|1537005729164|1537005745110|442|10|15767680
LdbcQuery8|1537005729164|1537005745553|1|8|15767680
LdbcQuery13|1537005729312|1537005745554|85|1|15915502
LdbcQuery4|1537005729361|1537005745639|57|0|15964776
LdbcQuery8|1537005729411|1537005745697|1|17|16014050
LdbcQuery11|1537005729657|1537005745698|4|2|16260420
LdbcQuery8|1537005729657|1537005745702|1|20|16260420
LdbcQuery2|1537005729805|1537005745704|37|20|16408242
LdbcQuery8|1537005729903|1537005745741|1|20|16506790
LdbcQuery1|1537005730051|1537005745743|67|20|16654612
LdbcQuery8|1537005730150|1537005745810|1|13|16753160
LdbcQuery13|1537005730248|1537005745812|51|1|16851708
LdbcQuery7|1537005730248|1537005745863|137|20|16851708
LdbcQuery14|1537005730297|1537005746001|11078|17|16900982
LdbcQuery8|1537005730396|1537005757079|1|4|16999530
LdbcQuery8|1537005730642|1537005757081|1|5|17245900
LdbcQuery11|1537005730741|1537005757082|2|0|17344448
LdbcQuery12|1537005730741|1537005757084|229|5|17344448
LdbcQuery8|1537005730889|1537005757314|1|14|17492270
LdbcQuery10|1537005731135|1537005757315|332|10|17738640
LdbcQuery4|1537005731135|1537005757648|64|10|17738640
LdbcQuery8|1537005731135|1537005757712|1|10|17738640
LdbcQuery13|1537005731184|1537005757714|2|1|17787914
LdbcQuery1|1537005731332|1537005757717|45|20|17935736
LdbcQuery8|1537005731381|1537005757762|1|13|17985010
LdbcQuery3|1537005731579|1537005757763|21|0|18182106
LdbcQuery2|1537005731628|1537005757785|54|20|18231380
LdbcQuery8|1537005731628|1537005757840|1|16|18231380
LdbcQuery11|1537005731825|1537005757841|3|4|18428476
LdbcQuery8|1537005731874|1537005757845|0|8|18477750
LdbcQuery13|1537005732121|1537005757846|3|1|18724120
LdbcQuery7|1537005732121|1537005757850|122|20|18724120
LdbcQuery8|1537005732121|1537005757972|1|9|18724120
LdbcQuery8|1537005732367|1537005757973|1|16|18970490
LdbcQuery5|1537005732613|1537005757974|699|20|19216860
LdbcQuery1|1537005732613|1537005758674|16|13|19216860
LdbcQuery8|1537005732613|1537005758691|1|3|19216860
LdbcQuery14|1537005732712|1537005758692|10395|1|19315408
LdbcQuery8|1537005732860|1537005769088|1|14|19463230
LdbcQuery4|1537005732909|1537005769089|90|0|19512504
LdbcQuery12|1537005732909|1537005769180|145|4|19512504
LdbcQuery11|1537005732909|1537005769326|4|2|19512504
LdbcQuery13|1537005733057|1537005769331|85|1|19660326
LdbcQuery10|1537005733106|1537005769416|421|10|19709600
LdbcQuery8|1537005733106|1537005769837|1|20|19709600
LdbcQuery8|1537005733352|1537005769839|1|12|19955970
LdbcQuery2|1537005733451|1537005769840|44|20|20054518
LdbcQuery8|1537005733599|1537005769885|1|2|20202340
LdbcQuery8|1537005733845|1537005769886|0|9|20448710
LdbcQuery1|1537005733894|1537005769887|75|20|20497984
LdbcQuery7|1537005733993|1537005769962|132|20|20596532
LdbcQuery11|1537005733993|1537005770095|4|0|20596532
LdbcQuery13|1537005733993|1537005770099|78|1|20596532
LdbcQuery8|1537005734092|1537005770178|1|9|20695080
LdbcQuery8|1537005734338|1537005770179|1|18|20941450
LdbcQuery8|1537005734584|1537005770180|0|9|21187820
LdbcQuery4|1537005734683|1537005770181|61|0|21286368
LdbcQuery6|1537005734781|1537005770243|39|10|21384916
LdbcQuery8|1537005734831|1537005770283|1|19|21434190
LdbcQuery13|1537005734929|1537005770284|73|1|21532738
LdbcQuery10|1537005735077|1537005770358|423|10|21680560
LdbcQuery11|1537005735077|1537005770781|4|7|21680560
LdbcQuery12|1537005735077|1537005770786|234|5|21680560
LdbcQuery8|1537005735077|1537005771020|1|11|21680560
LdbcQuery14|1537005735126|1537005771022|10476|1|21729834
LdbcQuery1|1537005735176|1537005781498|19|17|21779108
LdbcQuery2|1537005735274|1537005781518|53|20|21877656
LdbcQuery8|1537005735323|1537005781571|1|7|21926930
LdbcQuery8|1537005735570|1537005781573|0|1|22173300
LdbcQuery8|1537005735816|1537005781574|0|8|22419670
LdbcQuery7|1537005735865|1537005781575|135|20|22468944
LdbcQuery13|1537005735865|1537005781710|89|1|22468944
LdbcQuery8|1537005736063|1537005781800|1|1|22666040
LdbcQuery11|1537005736161|1537005781801|3|3|22764588
LdbcQuery8|1537005736309|1537005781805|1|11|22912410
LdbcQuery5|1537005736457|1537005781806|69|0|23060232
LdbcQuery4|1537005736457|1537005781876|62|10|23060232
LdbcQuery1|1537005736457|1537005781938|66|20|23060232
LdbcQuery8|1537005736555|1537005782004|1|3|23158780
LdbcQuery13|1537005736802|1537005782005|76|1|23405150
LdbcQuery8|1537005736802|1537005782081|1|1|23405150
LdbcQuery10|1537005737048|1537005782082|391|10|23651520
LdbcQuery8|1537005737048|1537005782474|1|2|23651520
LdbcQuery2|1537005737097|1537005782475|35|20|23700794
LdbcQuery11|1537005737245|1537005782510|2|0|23848616
LdbcQuery12|1537005737245|1537005782513|213|7|23848616
LdbcQuery8|1537005737294|1537005782726|1|5|23897890
LdbcQuery14|1537005737541|1537005782728|10798|9|24144260
LdbcQuery8|1537005737541|1537005793527|1|7|24144260
LdbcQuery3|1537005737639|1537005793528|25|0|24242808
LdbcQuery13|1537005737738|1537005793554|83|1|24341356
LdbcQuery1|1537005737738|1537005793638|75|20|24341356
LdbcQuery7|1537005737738|1537005793714|125|20|24341356
LdbcQuery8|1537005737787|1537005793840|1|3|24390630
LdbcQuery8|1537005738033|1537005793841|0|3|24637000
LdbcQuery4|1537005738231|1537005793842|71|10|24834096
LdbcQuery8|1537005738280|1537005793914|1|7|24883370
LdbcQuery11|1537005738329|1537005793915|4|2|24932644
LdbcQuery8|1537005738526|1537005793919|1|13|25129740
LdbcQuery13|1537005738674|1537005793921|85|1|25277562
LdbcQuery8|1537005738773|1537005794007|1|5|25376110
LdbcQuery2|1537005738920|1537005794008|57|20|25523932
LdbcQuery1|1537005739019|1537005794066|75|20|25622480
LdbcQuery10|1537005739019|1537005794142|335|10|25622480
LdbcQuery8|1537005739019|1537005794478|1|1|25622480
LdbcQuery8|1537005739265|1537005794480|1|4|25868850
LdbcQuery9|1537005739364|1537005794481|1052|20|25967398
LdbcQuery12|1537005739413|1537005795534|195|4|26016672
LdbcQuery11|1537005739413|1537005795730|4|0|26016672
LdbcQuery8|1537005739512|1537005795734|1|1|26115220
LdbcQuery13|1537005739610|1537005795736|79|1|26213768
LdbcQuery7|1537005739610|1537005795815|139|20|26213768
LdbcQuery8|1537005739758|1537005795954|1|14|26361590
LdbcQuery14|1537005739955|1537005795956|10446|1|26558686
LdbcQuery4|1537005740004|1537005806403|96|3|26607960
LdbcQuery8|1537005740004|1537005806500|1|14|26607960
LdbcQuery8|1537005740251|1537005806502|1|20|26854330
LdbcQuery1|1537005740300|1537005806504|66|20|26903604
LdbcQuery5|1537005740300|1537005806570|655|20|26903604
LdbcQuery11|1537005740497|1537005807226|4|7|27100700
LdbcQuery8|1537005740497|1537005807230|1|15|27100700
LdbcQuery13|1537005740546|1537005807232|84|1|27149974
LdbcQuery2|1537005740744|1537005807317|60|20|27347070
LdbcQuery8|1537005740744|1537005807378|1|16|27347070
LdbcQuery10|1537005740990|1537005807380|487|10|27593440
LdbcQuery8|1537005740990|1537005807868|1|19|27593440
LdbcQuery8|1537005741236|1537005807870|1|13|27839810
LdbcQuery7|1537005741483|1537005807871|133|20|28086180
LdbcQuery13|1537005741483|1537005808005|75|1|28086180
LdbcQuery8|1537005741483|1537005808080|1|5|28086180
LdbcQuery11|1537005741581|1537005808081|3|1|28184728
LdbcQuery12|1537005741581|1537005808085|153|2|28184728
LdbcQuery1|1537005741581|1537005808238|14|5|28184728
LdbcQuery8|1537005741729|1537005808253|1|6|28332550
LdbcQuery4|1537005741778|1537005808255|66|10|28381824
LdbcQuery8|1537005741975|1537005808321|1|9|28578920
LdbcQuery8|1537005742222|1537005808322|1|6|28825290
LdbcQuery14|1537005742370|1537005808324|10997|7|28973112
LdbcQuery13|1537005742419|1537005819321|86|1|29022386
LdbcQuery8|1537005742468|1537005819408|1|6|29071660
LdbcQuery2|1537005742567|1537005819410|45|20|29170208
LdbcQuery11|1537005742665|1537005819456|4|1|29268756
LdbcQuery8|1537005742714|1537005819460|1|2|29318030
LdbcQuery1|1537005742862|1537005819461|73|20|29465852
LdbcQuery10|1537005742961|1537005819535|425|10|29564400
LdbcQuery8|1537005742961|1537005819960|1|10|29564400
LdbcQuery8|1537005743207|1537005819961|1|13|29810770
LdbcQuery7|1537005743355|1537005819963|120|20|29958592
LdbcQuery13|1537005743355|1537005820083|87|1|29958592
LdbcQuery8|1537005743454|1537005820170|1|11|30057140
LdbcQuery4|1537005743552|1537005820172|69|1|30155688
LdbcQuery3|1537005743700|1537005820242|27|3|30303510
LdbcQuery8|1537005743700|1537005820269|1|8|30303510
LdbcQuery11|1537005743749|1537005820271|2|0|30352784
LdbcQuery12|1537005743749|1537005820273|248|6|30352784
LdbcQuery8|1537005743946|1537005820521|1|20|30549880
LdbcQuery5|1537005744143|1537005820523|1131|20|30746976
LdbcQuery1|1537005744143|1537005821654|15|8|30746976
LdbcQuery8|1537005744193|1537005821670|1|16|30796250
LdbcQuery13|1537005744291|1537005821671|77|1|30894798
LdbcQuery2|1537005744390|1537005821749|54|20|30993346
LdbcQuery8|1537005744439|1537005821803|1|1|31042620
LdbcQuery8|1537005744685|1537005821805|1|12|31288990
LdbcQuery14|1537005744784|1537005821806|10789|6|31387538
LdbcQuery11|1537005744833|1537005832595|4|7|31436812
LdbcQuery10|1537005744932|1537005832599|373|10|31535360
LdbcQuery8|1537005744932|1537005832973|1|7|31535360
LdbcQuery8|1537005745178|1537005832975|1|20|31781730
LdbcQuery7|1537005745227|1537005832976|117|20|31831004
LdbcQuery13|1537005745227|1537005833094|86|1|31831004
LdbcQuery4|1537005745326|1537005833180|68|0|31929552
LdbcQuery1|1537005745425|1537005833249|67|20|32028100
LdbcQuery8|1537005745425|1537005833316|1|7|32028100
LdbcQuery8|1537005745671|1537005833317|1|20|32274470
LdbcQuery12|1537005745917|1537005833319|242|5|32520840
LdbcQuery11|1537005745917|1537005833561|2|0|32520840
LdbcQuery8|1537005745917|1537005833564|1|13|32520840
LdbcQuery13|1537005746164|1537005833565|82|1|32767210
LdbcQuery8|1537005746164|1537005833648|1|10|32767210
LdbcQuery2|1537005746213|1537005833649|51|20|32816484
LdbcQuery8|1537005746410|1537005833701|1|20|33013580
LdbcQuery8|1537005746656|1537005833703|1|17|33259950
LdbcQuery1|1537005746706|1537005833704|73|20|33309224
LdbcQuery10|1537005746903|1537005833778|378|10|33506320
LdbcQuery8|1537005746903|1537005834156|1|14|33506320
LdbcQuery11|1537005747001|1537005834158|4|6|33604868
LdbcQuery13|1537005747100|1537005834162|87|1|33703416
LdbcQuery7|1537005747100|1537005834249|133|20|33703416
LdbcQuery4|1537005747100|1537005834383|47|0|33703416
LdbcQuery8|1537005747149|1537005834431|1|17|33752690
LdbcQuery14|1537005747198|1537005834432|10818|14|33801964
LdbcQuery8|1537005747396|1537005845251|1|4|33999060
LdbcQuery8|1537005747642|1537005845253|1|1|34245430
LdbcQuery8|1537005747888|1537005845254|1|13|34491800
LdbcQuery1|1537005747987|1537005845255|13|1|34590348
