operation_type|scheduled_start_time|actual_start_time|execution_duration_MILLISECONDS|result_code|original_start_time
LdbcQuery11|1537006370165|1537006365194|7|1|11924308
LdbcQuery8|1537006370313|1537006365202|8|17|12072130
LdbcQuery3|1537006370362|1537006365210|240|2|12121404
LdbcQuery8|1537006370559|1537006365451|8|17|12318500
LdbcQuery4|1537006370658|1537006365459|320|10|12417048
LdbcQuery8|1537006370806|1537006365780|7|9|12564870
LdbcQuery2|1537006371003|1537006365788|96|20|12761966
LdbcQuery1|1537006371052|1537006365884|289|20|12811240
LdbcQuery8|1537006371052|1537006366174|7|7|12811240
LdbcQuery11|1537006371249|1537006366181|6|10|13008336
LdbcQuery12|1537006371249|1537006366188|768|0|13008336
LdbcQuery8|1537006371298|1537006366957|8|5|13057610
LdbcQuery7|1537006371348|1537006366965|1200|20|13106884
LdbcQuery8|1537006371545|1537006368166|7|16|13303980
LdbcQuery8|1537006371791|1537006368174|6|11|13550350
LdbcQuery10|1537006372037|1537006368181|2443|10|13796720
LdbcQuery8|1537006372037|1537006370625|8|8|13796720
LdbcQuery8|1537006372284|1537006370634|7|11|14043090
LdbcQuery1|1537006372333|1537006370641|326|20|14092364
LdbcQuery11|1537006372333|1537006370967|3|0|14092364
LdbcQuery4|1537006372432|1537006370970|271|10|14190912
LdbcQuery8|1537006372530|1537006371242|7|20|14289460
LdbcQuery8|1537006372777|1537006371249|6|8|14535830
LdbcQuery2|1537006372826|1537006371256|99|20|14585104
LdbcQuery8|1537006373023|1537006371356|8|4|14782200
LdbcQuery7|1537006373220|1537006371365|1137|0|14979296
LdbcQuery8|1537006373269|1537006372502|7|11|15028570
LdbcQuery12|1537006373417|1537006372510|752|0|15176392
LdbcQuery11|1537006373417|1537006373262|7|10|15176392
LdbcQuery8|1537006373516|1537006373270|8|3|15274940
LdbcQuery1|1537006373614|1537006373279|265|20|15373488
LdbcQuery5|1537006373614|1537006373544|8240|20|15373488
LdbcQuery8|1537006373762|1537006381785|8|9|15521310
LdbcQuery10|1537006374008|1537006381793|1677|10|15767680
LdbcQuery8|1537006374008|1537006383471|9|9|15767680
LdbcQuery4|1537006374205|1537006383481|256|1|15964776
LdbcQuery8|1537006374255|1537006383738|7|5|16014050
LdbcQuery11|1537006374501|1537006383745|7|6|16260420
