operation_type|scheduled_start_time|actual_start_time|execution_duration_MILLISECONDS|result_code|original_start_time
LdbcQuery8|1539842880314|1539842875342|20237|20|280
LdbcQuery8|1539842880314|1539842895580|19811|20|285
LdbcQuery11|1539842880314|1539842915392|44|0|286
LdbcQuery4|1539842880314|1539842915436|2077|4|288
LdbcQuery8|1539842880314|1539842917514|19842|15|290
LdbcQuery8|1539842880314|1539842937356|20334|15|295
LdbcQuery2|1539842880314|1539842957691|21044|20|296
LdbcQuery8|1539842880314|1539842978735|19832|20|300
LdbcQuery7|1539842880314|1539842998567|15277|20|304
LdbcQuery8|1539842880314|1539843013845|20011|20|305
LdbcQuery11|1539842880314|1539843033856|70626|6|308
LdbcQuery8|1539842880314|1539843104482|20092|16|310
LdbcQuery5|1539842880314|1539843124576|73141|20|312
LdbcQuery8|1539842880314|1539843197717|20084|2|315
LdbcQuery10|1539842880314|1539843217802|81570|10|320
LdbcQuery8|1539842880314|1539843299372|20740|8|320
LdbcQuery4|1539842880314|1539843320113|2049|1|324
LdbcQuery8|1539842880314|1539843322162|19837|17|325
LdbcQuery11|1539842880314|1539843342000|70271|2|330
LdbcQuery8|1539842880314|1539843412272|20101|20|330
LdbcQuery2|1539842880314|1539843432374|22679|20|333
LdbcQuery8|1539842880314|1539843455053|20030|20|335
LdbcQuery8|1539842880314|1539843475083|19847|13|340
LdbcQuery7|1539842880314|1539843494931|15316|20|342
LdbcQuery8|1539842880314|1539843510247|19824|4|345
LdbcQuery8|1539842880314|1539843530071|20611|5|350
LdbcQuery11|1539842880314|1539843550683|43|0|352
LdbcQuery8|1539842880314|1539843550727|19938|14|355
LdbcQuery10|1539842880314|1539843570666|139970|10|360
LdbcQuery8|1539842880314|1539843710637|20108|10|360
LdbcQuery4|1539842880314|1539843730746|3754|10|360
LdbcQuery8|1539842880314|1539843734501|19787|13|365
LdbcQuery3|1539842880314|1539843754288|274365|0|369
LdbcQuery2|1539842880314|1539844028654|19852|20|370
LdbcQuery8|1539842880314|1539844048506|20319|16|370
LdbcQuery11|1539842880314|1539844068826|69110|4|374
LdbcQuery8|1539842880314|1539844137937|20087|8|375
LdbcQuery7|1539842880314|1539844158025|15308|20|380
LdbcQuery8|1539842880314|1539844173334|19869|9|380
LdbcQuery8|1539842880314|1539844193203|19916|16|385
LdbcQuery5|1539842880314|1539844213119|74407|20|390
LdbcQuery8|1539842880314|1539844287526|20079|3|390
LdbcQuery8|1539842880314|1539844307606|19918|14|395
LdbcQuery11|1539842880314|1539844327524|69739|2|396
LdbcQuery4|1539842880314|1539844397264|2306|1|396
LdbcQuery8|1539842880314|1539844399571|19976|20|400
LdbcQuery10|1539842880314|1539844419547|292203|10|400
LdbcQuery8|1539842880314|1539844711751|20513|12|405
LdbcQuery2|1539842880314|1539844732265|20262|20|407
LdbcQuery8|1539842880314|1539844752528|19880|2|410
LdbcQuery8|1539842880314|1539844772409|19903|9|415
LdbcQuery11|1539842880314|1539844792312|71304|0|418
LdbcQuery7|1539842880314|1539844863616|15362|20|418
LdbcQuery8|1539842880314|1539844878979|19991|9|420
LdbcQuery8|1539842880314|1539844898970|19972|18|425
LdbcQuery8|1539842880314|1539844918943|19796|9|430
