operation_type|scheduled_start_time|actual_start_time|execution_duration_MILLISECONDS|result_code|original_start_time
LdbcQuery8|1539206187936|1539206183121|12072|9|5
LdbcQuery8|1539206187936|1539206195194|140|8|10
LdbcQuery8|1539206187936|1539206195334|146|14|15
LdbcQuery8|1539206187936|1539206195481|117|6|20
LdbcQuery11|1539206187936|1539206195599|2263|10|22
LdbcQuery8|1539206187936|1539206197863|103|9|25
LdbcQuery1|1539206187936|1539206197967|12493|20|26
LdbcQuery8|1539206187936|1539206210460|101|20|30
LdbcQuery8|1539206187936|1539206210562|87|17|35
LdbcQuery4|1539206187936|1539206210649|25838|0|36
LdbcQuery2|1539206187936|1539206236487|3047|20|37
LdbcQuery7|1539206187936|1539206239535|2388|0|38
LdbcQuery10|1539206187936|1539206241923|279547|10|40
LdbcQuery8|1539206187936|1539206521471|79|17|40
LdbcQuery11|1539206187936|1539206521551|105|6|44
LdbcQuery12|1539206187936|1539206521656|485|0|44
LdbcQuery8|1539206187936|1539206522142|68|5|45
LdbcQuery8|1539206187936|1539206522211|74|10|50
LdbcQuery1|1539206187936|1539206522286|9367|20|52
LdbcQuery8|1539206187936|1539206531653|74|16|55
LdbcQuery8|1539206187936|1539206531728|70|16|60
LdbcQuery8|1539206187936|1539206531799|71|12|65
LdbcQuery11|1539206187936|1539206531870|102|10|66
LdbcQuery8|1539206187936|1539206531973|68|8|70
LdbcQuery4|1539206187936|1539206532042|178724|10|72
LdbcQuery2|1539206187936|1539206710766|1234|20|74
LdbcQuery8|1539206187936|1539206712000|79|15|75
LdbcQuery7|1539206187936|1539206712080|1635|0|76
LdbcQuery5|1539206187936|1539206713716|5056|20|78
LdbcQuery1|1539206187936|1539206718773|13424|20|78
LdbcQuery10|1539206187936|1539206732198|282728|10|80
LdbcQuery8|1539206187936|1539207014926|86|8|80
LdbcQuery8|1539206187936|1539207015013|71|9|85
LdbcQuery12|1539206187936|1539207015084|389|0|88
LdbcQuery11|1539206187936|1539207015474|81|0|88
LdbcQuery8|1539206187936|1539207015556|72|11|90
LdbcQuery8|1539206187936|1539207015628|69|9|95
LdbcQuery8|1539206187936|1539207015698|78|2|100
LdbcQuery1|1539206187936|1539207015776|13059|20|104
LdbcQuery8|1539206187936|1539207028836|70|17|105
LdbcQuery4|1539206187936|1539207028906|5073|0|108
LdbcQuery11|1539206187936|1539207033980|106|10|110
LdbcQuery8|1539206187936|1539207034087|68|6|110
LdbcQuery2|1539206187936|1539207034155|684|20|111
LdbcQuery7|1539206187936|1539207034840|1648|2|114
LdbcQuery8|1539206187936|1539207036489|69|14|115
LdbcQuery10|1539206187936|1539207036558|280373|10|120
LdbcQuery8|1539206187936|1539207316932|97|6|120
LdbcQuery3|1539206187936|1539207317029|640|0|123
LdbcQuery8|1539206187936|1539207317670|69|10|125
LdbcQuery1|1539206187936|1539207317740|9195|20|130
LdbcQuery8|1539206187936|1539207326936|69|10|130
LdbcQuery11|1539206187936|1539207327005|101|10|132
LdbcQuery12|1539206187936|1539207327107|405|1|132
LdbcQuery8|1539206187936|1539207327513|66|1|135
LdbcQuery8|1539206187936|1539207327580|69|10|140
LdbcQuery4|1539206187936|1539207327649|186799|5|144
LdbcQuery8|1539206187936|1539207514449|68|10|145
LdbcQuery2|1539206187936|1539207514518|1267|20|148
LdbcQuery8|1539206187936|1539207515785|67|9|150
LdbcQuery7|1539206187936|1539207515853|1711|20|152
LdbcQuery11|1539206187936|1539207517565|105|10|154
LdbcQuery8|1539206187936|1539207517671|83|11|155
LdbcQuery5|1539206187936|1539207517754|27|0|156
LdbcQuery1|1539206187936|1539207517782|9269|20|156
LdbcQuery10|1539206187936|1539207527051|269486|10|160
LdbcQuery8|1539206187936|1539207796537|128|9|160
LdbcQuery8|1539206187936|1539207796665|67|7|165
LdbcQuery8|1539206187936|1539207796732|67|14|170
LdbcQuery8|1539206187936|1539207796800|70|11|175
LdbcQuery11|1539206187936|1539207796871|84|0|176
LdbcQuery12|1539206187936|1539207796956|470|0|176
LdbcQuery4|1539206187936|1539207797426|128188|10|180
LdbcQuery8|1539206187936|1539207925615|67|4|180
LdbcQuery1|1539206187936|1539207925683|9330|20|182
LdbcQuery2|1539206187936|1539207935013|647|20|185
LdbcQuery8|1539206187936|1539207935661|67|5|185
LdbcQuery7|1539206187936|1539207935729|1621|0|190
LdbcQuery8|1539206187936|1539207937350|68|5|190
LdbcQuery8|1539206187936|1539207937418|68|1|195
LdbcQuery11|1539206187936|1539207937487|253|1|198
LdbcQuery10|1539206187936|1539207937741|268768|10|200
LdbcQuery8|1539206187936|1539208206509|67|9|200
LdbcQuery8|1539206187936|1539208206577|98|20|205
LdbcQuery1|1539206187936|1539208206676|8574|20|208
LdbcQuery8|1539206187936|1539208215251|68|10|210
LdbcQuery8|1539206187936|1539208215319|67|12|215
LdbcQuery4|1539206187936|1539208215387|129195|10|216
LdbcQuery11|1539206187936|1539208344582|95|10|220
LdbcQuery8|1539206187936|1539208344677|126|14|220
LdbcQuery12|1539206187936|1539208344804|402|0|220
LdbcQuery2|1539206187936|1539208345206|626|20|222
LdbcQuery8|1539206187936|1539208345833|68|17|225
LdbcQuery7|1539206187936|1539208345902|1619|0|228
LdbcQuery8|1539206187936|1539208347522|70|12|230
LdbcQuery5|1539206187936|1539208347592|1945|20|234
LdbcQuery1|1539206187936|1539208349538|8906|20|234
LdbcQuery8|1539206187936|1539208358445|73|17|235
LdbcQuery10|1539206187936|1539208358519|282345|10|240
LdbcQuery8|1539206187936|1539208640865|68|9|240
