operation_type|scheduled_start_time|actual_start_time|execution_duration_MILLISECONDS|result_code|original_start_time
LdbcQuery8|1540543106083|1540543101216|72455|3|246370
LdbcQuery8|1540543106329|1540543173671|71748|3|492740
LdbcQuery8|1540543106576|1540543245420|71024|7|739110
LdbcQuery8|1540543106822|1540543316445|68555|13|985480
LdbcQuery11|1540543106921|1540543385001|5693|10|1084028
LdbcQuery8|1540543107068|1540543390694|73677|5|1231850
LdbcQuery8|1540543107315|1540543464372|67786|1|1478220
LdbcQuery8|1540543107561|1540543532159|69850|4|1724590
LdbcQuery2|1540543107660|1540543602010|47420|20|1823138
LdbcQuery8|1540543107808|1540543649430|67954|1|1970960
LdbcQuery11|1540543108005|1540543717384|5446|0|2168056
LdbcQuery12|1540543108005|1540543722831|43540|6|2168056
LdbcQuery8|1540543108054|1540543766372|71296|14|2217330
LdbcQuery8|1540543108300|1540543837668|70066|14|2463700
LdbcQuery8|1540543108547|1540543907735|72348|20|2710070
LdbcQuery8|1540543108793|1540543980083|69106|15|2956440
LdbcQuery8|1540543109039|1540544049189|73055|16|3202810
LdbcQuery11|1540543109089|1540544122245|5064|0|3252084
LdbcQuery8|1540543109286|1540544127309|69756|19|3449180
LdbcQuery2|1540543109483|1540544197066|49699|20|3646276
LdbcQuery8|1540543109532|1540544246766|69501|13|3695550
LdbcQuery5|1540543109680|1540544316267|52227|0|3843372
LdbcQuery8|1540543109779|1540544368495|72446|5|3941920
LdbcQuery8|1540543110025|1540544440941|70535|6|4188290
LdbcQuery12|1540543110173|1540544511477|48332|3|4336112
LdbcQuery11|1540543110173|1540544559809|5550|4|4336112
LdbcQuery8|1540543110271|1540544565360|70791|9|4434660
LdbcQuery8|1540543110518|1540544636151|71723|6|4681030
LdbcQuery8|1540543110764|1540544707874|71417|6|4927400
LdbcQuery8|1540543111010|1540544779292|71478|2|5173770
LdbcQuery11|1540543111257|1540544850771|5252|0|5420140
LdbcQuery8|1540543111257|1540544856023|74032|10|5420140
LdbcQuery2|1540543111306|1540544930055|46823|20|5469414
LdbcQuery8|1540543111503|1540544976879|73199|13|5666510
LdbcQuery8|1540543111750|1540545050079|72201|11|5912880
LdbcQuery8|1540543111996|1540545122281|70967|8|6159250
LdbcQuery8|1540543112242|1540545193249|71816|20|6405620
LdbcQuery12|1540543112341|1540545265066|46570|5|6504168
LdbcQuery11|1540543112341|1540545311636|5449|1|6504168
LdbcQuery8|1540543112489|1540545317086|73611|16|6651990
LdbcQuery8|1540543112735|1540545390697|73752|1|6898360
LdbcQuery8|1540543112981|1540545464450|71775|12|7144730
LdbcQuery2|1540543113129|1540545536226|47739|20|7292552
LdbcQuery8|1540543113228|1540545583965|71167|7|7391100
LdbcQuery11|1540543113425|1540545655133|5484|10|7588196
LdbcQuery8|1540543113474|1540545660617|71548|20|7637470
LdbcQuery5|1540543113523|1540545732166|107464|20|7686744
LdbcQuery8|1540543113720|1540545839631|70882|7|7883840
LdbcQuery8|1540543113967|1540545910514|74921|20|8130210
LdbcQuery8|1540543114213|1540545985435|71767|13|8376580
LdbcQuery8|1540543114460|1540546057203|73067|10|8622950
LdbcQuery11|1540543114509|1540546130270|5505|3|8672224
LdbcQuery12|1540543114509|1540546135776|45943|7|8672224
LdbcQuery8|1540543114706|1540546181719|73419|20|8869320
LdbcQuery2|1540543114952|1540546255139|53497|20|9115690
LdbcQuery8|1540543114952|1540546308636|71416|17|9115690
LdbcQuery8|1540543115199|1540546380053|74285|14|9362060
LdbcQuery8|1540543115445|1540546454338|71635|17|9608430
LdbcQuery11|1540543115593|1540546525974|5302|3|9756252
LdbcQuery8|1540543115691|1540546531277|74404|4|9854800
LdbcQuery8|1540543115938|1540546605681|71887|1|10101170
LdbcQuery8|1540543116184|1540546677569|73193|13|10347540
LdbcQuery8|1540543116431|1540546750762|72773|20|10593910
LdbcQuery11|1540543116677|1540546823536|5724|3|10840280
LdbcQuery8|1540543116677|1540546829261|73247|6|10840280
LdbcQuery12|1540543116677|1540546902509|46306|6|10840280
LdbcQuery2|1540543116775|1540546948815|53403|20|10938828
LdbcQuery8|1540543116923|1540547002219|72164|16|11086650
LdbcQuery8|1540543117170|1540547074384|73633|3|11333020
LdbcQuery5|1540543117367|1540547148017|105446|20|11530116
LdbcQuery8|1540543117416|1540547253464|71156|18|11579390
LdbcQuery8|1540543117662|1540547324620|72509|20|11825760
LdbcQuery11|1540543117761|1540547397130|5484|2|11924308
LdbcQuery8|1540543117909|1540547402615|72369|9|12072130
LdbcQuery8|1540543118155|1540547474985|72057|2|12318500
LdbcQuery8|1540543118402|1540547547043|73334|15|12564870
LdbcQuery2|1540543118599|1540547620377|45967|20|12761966
LdbcQuery8|1540543118648|1540547666344|74279|7|12811240
LdbcQuery12|1540543118845|1540547740624|45898|6|13008336
LdbcQuery11|1540543118845|1540547786522|5180|1|13008336
LdbcQuery8|1540543118894|1540547791703|74224|19|13057610
LdbcQuery8|1540543119141|1540547865927|72265|12|13303980
LdbcQuery8|1540543119387|1540547938193|71305|20|13550350
LdbcQuery8|1540543119633|1540548009498|73346|20|13796720
LdbcQuery8|1540543119880|1540548082844|73609|20|14043090
LdbcQuery11|1540543119929|1540548156454|5359|0|14092364
LdbcQuery8|1540543120126|1540548161814|73111|15|14289460
LdbcQuery8|1540543120372|1540548234926|71375|15|14535830
LdbcQuery2|1540543120422|1540548306302|46805|20|14585104
LdbcQuery8|1540543120619|1540548353107|72232|20|14782200
LdbcQuery8|1540543120865|1540548425340|72477|20|15028570
LdbcQuery12|1540543121013|1540548497818|46658|4|15176392
LdbcQuery11|1540543121013|1540548544477|5058|6|15176392
LdbcQuery8|1540543121112|1540548549536|71416|16|15274940
LdbcQuery5|1540543121210|1540548620953|112825|20|15373488
LdbcQuery8|1540543121358|1540548733778|70637|2|15521310
LdbcQuery8|1540543121604|1540548804416|72989|8|15767680
LdbcQuery8|1540543121851|1540548877405|71218|17|16014050
LdbcQuery11|1540543122097|1540548948624|5227|2|16260420
LdbcQuery8|1540543122097|1540548953852|73919|20|16260420
