operation_type|scheduled_start_time|actual_start_time|execution_duration_MILLISECONDS|result_code|original_start_time
LdbcQuery8|1540396563389|1540396558521|16323|20|246370
LdbcQuery8|1540396563635|1540396574844|16113|20|492740
LdbcQuery8|1540396563882|1540396590958|16190|20|739110
LdbcQuery8|1540396564128|1540396607149|16496|20|985480
LdbcQuery11|1540396564227|1540396623646|2010|0|1084028
LdbcQuery8|1540396564374|1540396625656|16340|20|1231850
LdbcQuery8|1540396564621|1540396641996|16513|20|1478220
LdbcQuery8|1540396564867|1540396658510|15933|20|1724590
LdbcQuery2|1540396564966|1540396674444|7740|20|1823138
LdbcQuery8|1540396565114|1540396682185|16465|20|1970960
LdbcQuery11|1540396565311|1540396698651|1931|4|2168056
LdbcQuery12|1540396565311|1540396700582|13532|3|2168056
LdbcQuery8|1540396565360|1540396714115|16505|20|2217330
LdbcQuery8|1540396565606|1540396730620|16724|20|2463700
LdbcQuery8|1540396565853|1540396747345|16074|20|2710070
LdbcQuery8|1540396566099|1540396763420|16840|20|2956440
LdbcQuery8|1540396566345|1540396780261|16736|20|3202810
LdbcQuery11|1540396566395|1540396796998|1991|1|3252084
LdbcQuery8|1540396566592|1540396798989|17235|20|3449180
LdbcQuery2|1540396566789|1540396816224|7853|20|3646276
LdbcQuery8|1540396566838|1540396824078|16284|20|3695550
LdbcQuery5|1540396566986|1540396840363|24218|20|3843372
LdbcQuery8|1540396567085|1540396864582|15939|20|3941920
LdbcQuery8|1540396567331|1540396880521|15971|20|4188290
LdbcQuery12|1540396567479|1540396896492|14345|5|4336112
LdbcQuery11|1540396567479|1540396910837|1910|1|4336112
LdbcQuery8|1540396567577|1540396912748|15830|20|4434660
LdbcQuery8|1540396567824|1540396928578|15846|20|4681030
LdbcQuery8|1540396568070|1540396944424|16049|20|4927400
LdbcQuery8|1540396568316|1540396960474|15989|20|5173770
LdbcQuery11|1540396568563|1540396976464|1935|0|5420140
LdbcQuery8|1540396568563|1540396978399|15919|20|5420140
LdbcQuery2|1540396568612|1540396994320|7866|20|5469414
LdbcQuery8|1540396568809|1540397002186|15875|20|5666510
LdbcQuery8|1540396569056|1540397018061|15789|20|5912880
LdbcQuery3|1540396569203|1540397033851|74627|0|6060702
LdbcQuery8|1540396569302|1540397108479|15922|20|6159250
LdbcQuery8|1540396569548|1540397124401|16080|20|6405620
LdbcQuery12|1540396569647|1540397140482|14380|6|6504168
LdbcQuery11|1540396569647|1540397154862|206|0|6504168
LdbcQuery8|1540396569795|1540397155069|16113|20|6651990
LdbcQuery8|1540396570041|1540397171182|16028|20|6898360
LdbcQuery8|1540396570287|1540397187210|16763|20|7144730
LdbcQuery2|1540396570435|1540397203974|7715|20|7292552
LdbcQuery8|1540396570534|1540397211689|15787|20|7391100
LdbcQuery11|1540396570731|1540397227477|1905|0|7588196
LdbcQuery8|1540396570780|1540397229383|15950|20|7637470
LdbcQuery5|1540396570829|1540397245334|24089|20|7686744
LdbcQuery8|1540396571026|1540397269423|16445|20|7883840
LdbcQuery8|1540396571273|1540397285868|16641|20|8130210
