operation_type|scheduled_start_time|actual_start_time|execution_duration_MILLISECONDS|result_code|original_start_time
LdbcQuery8|1537004644136|1537004639270|105|2|246370
LdbcQuery8|1537004644382|1537004639376|3|18|492740
LdbcQuery8|1537004644629|1537004639379|2|12|739110
LdbcQuery13|1537004644826|1537004639381|306|1|936206
LdbcQuery8|1537004644875|1537004639688|1|0|985480
LdbcQuery11|1537004644974|1537004639690|6|4|1084028
LdbcQuery8|1537004645121|1537004639697|2|15|1231850
LdbcQuery1|1537004645171|1537004639700|52|20|1281124
LdbcQuery8|1537004645368|1537004639753|2|6|1478220
LdbcQuery8|1537004645614|1537004639755|2|20|1724590
LdbcQuery4|1537004645663|1537004639758|145|5|1773864
LdbcQuery2|1537004645713|1537004639903|81|20|1823138
LdbcQuery13|1537004645762|1537004639985|264|1|1872412
LdbcQuery7|1537004645762|1537004640249|376|20|1872412
LdbcQuery8|1537004645861|1537004640625|2|20|1970960
LdbcQuery10|1537004645861|1537004640628|542|10|1970960
LdbcQuery11|1537004646058|1537004641171|6|5|2168056
LdbcQuery12|1537004646058|1537004641177|292|5|2168056
LdbcQuery8|1537004646107|1537004641470|3|20|2217330
LdbcQuery14|1537004646304|1537004641473|31798|9|2414426
LdbcQuery8|1537004646353|1537004673271|2|20|2463700
LdbcQuery1|1537004646452|1537004673274|96|20|2562248
LdbcQuery8|1537004646600|1537004673370|2|13|2710070
LdbcQuery13|1537004646698|1537004673372|6|1|2808618
LdbcQuery8|1537004646846|1537004673379|1|7|2956440
LdbcQuery8|1537004647092|1537004673381|2|20|3202810
LdbcQuery11|1537004647142|1537004673383|7|5|3252084
LdbcQuery8|1537004647339|1537004673391|1|11|3449180
LdbcQuery4|1537004647437|1537004673392|88|2|3547728
LdbcQuery2|1537004647536|1537004673480|83|20|3646276
LdbcQuery8|1537004647585|1537004673564|1|3|3695550
LdbcQuery7|1537004647634|1537004673565|356|20|3744824
LdbcQuery13|1537004647634|1537004673922|238|1|3744824
LdbcQuery5|1537004647733|1537004674161|189|0|3843372
LdbcQuery1|1537004647733|1537004674350|95|20|3843372
LdbcQuery10|1537004647832|1537004674446|1108|10|3941920
LdbcQuery8|1537004647832|1537004675554|1|0|3941920
LdbcQuery8|1537004648078|1537004675556|2|20|4188290
LdbcQuery12|1537004648226|1537004675558|312|10|4336112
LdbcQuery11|1537004648226|1537004675871|6|10|4336112
LdbcQuery8|1537004648324|1537004675878|1|10|4434660
